Running "module reset". Resetting modules to system default. The following $MODULEPATH directories have been removed: None

Currently Loaded Modules:
  1) gcc/11.4.0      4) cue-login-env/1.0   7) cudnn/8.9.0.131
  2) openmpi/4.1.6   5) slurm-env/0.1       8) anaconda3_gpu/23.9.0
  3) cuda/11.8.0     6) default-s11

 

[2024-08-03 13:28:47,299 INFO Client1]: Logging to ./output/result_Client1_6.txt
[2024-08-03 13:29:37,468 INFO Client1]:      Round   Pre Val?       Time Train Loss Train Accuracy   Val Loss Val Accuracy
[2024-08-03 13:29:38,487 INFO Client1]:          0          Y                                          2.3042      14.5800
[2024-08-03 13:29:39,650 INFO Client1]:          0          N     1.1625     0.0990        82.2188     3.6556      76.7400
[2024-08-03 13:29:39,866 INFO Client1]:          1          Y                                          1.6820      75.6800
[2024-08-03 13:29:40,182 INFO Client1]:          1          N     0.3156     0.0389        93.8594     3.3080      77.3800
[2024-08-03 13:29:40,426 INFO Client1]:          2          Y                                          3.6224      60.6000
[2024-08-03 13:29:40,730 INFO Client1]:          2          N     0.3034     0.0445        93.8763     2.0723      78.0600
[2024-08-03 13:29:40,929 INFO Client1]:          3          Y                                          0.6734      75.2700
[2024-08-03 13:29:41,235 INFO Client1]:          3          N     0.3053     0.0211        96.2188     1.7837      78.2800
[2024-08-03 13:29:41,414 INFO Client1]:          4          Y                                          0.2598      91.4300
[2024-08-03 13:29:41,719 INFO Client1]:          4          N     0.3043     0.0169        96.9219     1.6156      78.2000
[2024-08-03 13:29:41,898 INFO Client1]:          5          Y                                          0.2181      92.8300
[2024-08-03 13:29:42,203 INFO Client1]:          5          N     0.3046     0.0130        97.6562     1.3240      79.0600
[2024-08-03 13:29:42,370 INFO Client1]:          6          Y                                          0.1872      93.7600
[2024-08-03 13:29:42,677 INFO Client1]:          6          N     0.3068     0.0119        97.7812     1.4679      79.3000
[2024-08-03 13:29:42,860 INFO Client1]:          7          Y                                          0.1955      93.6900
[2024-08-03 13:29:43,175 INFO Client1]:          7          N     0.3150     0.0111        98.2031     1.0690      79.2900
[2024-08-03 13:29:43,339 INFO Client1]:          8          Y                                          0.1694      94.5600
[2024-08-03 13:29:43,644 INFO Client1]:          8          N     0.3043     0.0108        98.0026     1.2290      79.0300
[2024-08-03 13:29:43,811 INFO Client1]:          9          Y                                          0.1190      96.4400
[2024-08-03 13:29:44,108 INFO Client1]:          9          N     0.2972     0.0087        98.4375     0.8613      81.0500
[2024-08-03 13:29:44,271 INFO Client1]:         10          Y                                          0.1369      95.7800
[2024-08-03 13:29:44,561 INFO Client1]:         10          N     0.2904     0.0075        98.6223     0.8415      81.7600
[2024-08-03 13:29:44,746 INFO Client1]:         11          Y                                          0.1354      95.8300
[2024-08-03 13:29:45,042 INFO Client1]:         11          N     0.2948     0.0068        98.7231     0.8404      80.6700
[2024-08-03 13:29:45,226 INFO Client1]:         12          Y                                          0.1142      96.5500
[2024-08-03 13:29:45,523 INFO Client1]:         12          N     0.2962     0.0064        98.7305     0.7671      83.2600
[2024-08-03 13:29:45,692 INFO Client1]:         13          Y                                          0.1210      96.1200
[2024-08-03 13:29:45,990 INFO Client1]:         13          N     0.2983     0.0065        98.7085     0.7670      83.1500
[2024-08-03 13:29:46,169 INFO Client1]:         14          Y                                          0.0940      97.0300
[2024-08-03 13:29:46,474 INFO Client1]:         14          N     0.3044     0.0070        98.6875     0.5887      83.3200
[2024-08-03 13:29:46,640 INFO Client1]:         15          Y                                          0.0946      97.1800
[2024-08-03 13:29:46,942 INFO Client1]:         15          N     0.3015     0.0071        98.8005     0.5514      84.7200
[2024-08-03 13:29:47,112 INFO Client1]:         16          Y                                          0.0894      97.2400
[2024-08-03 13:29:47,423 INFO Client1]:         16          N     0.3111     0.0056        98.9844     0.7892      85.4400
[2024-08-03 13:29:47,591 INFO Client1]:         17          Y                                          0.0792      97.7300
[2024-08-03 13:29:47,894 INFO Client1]:         17          N     0.3023     0.0068        98.8479     0.5993      86.0300
[2024-08-03 13:29:48,058 INFO Client1]:         18          Y                                          0.0991      96.9100
[2024-08-03 13:29:48,365 INFO Client1]:         18          N     0.3061     0.0057        99.0057     0.7818      81.9900
[2024-08-03 13:29:48,543 INFO Client1]:         19          Y                                          0.0848      97.2000
[2024-08-03 13:29:48,845 INFO Client1]:         19          N     0.3017     0.0070        98.9258     0.9684      79.5500
[2024-08-03 13:29:49,022 INFO Client1]:         20          Y                                          0.0728      97.7600
[2024-08-03 13:29:49,315 INFO Client1]:         20          N     0.2933     0.0054        98.9079     0.6400      83.2100
[2024-08-03 13:29:49,493 INFO Client1]:         21          Y                                          0.0567      98.2500
[2024-08-03 13:29:49,787 INFO Client1]:         21          N     0.2939     0.0044        99.0149     0.5996      85.3300
[2024-08-03 13:29:49,974 INFO Client1]:         22          Y                                          0.0669      98.1000
[2024-08-03 13:29:50,273 INFO Client1]:         22          N     0.2988     0.0047        99.0423     0.9488      79.6700
[2024-08-03 13:29:50,451 INFO Client1]:         23          Y                                          0.0675      98.0100
[2024-08-03 13:29:50,753 INFO Client1]:         23          N     0.3018     0.0052        99.0385     0.5205      84.8400
[2024-08-03 13:29:50,927 INFO Client1]:         24          Y                                          0.0807      97.5100
[2024-08-03 13:29:51,225 INFO Client1]:         24          N     0.2984     0.0045        99.0412     0.7041      82.6500
